iter	Passed	Remaining
0	135	135643
1	136	68076
2	137	45532
3	137	34266
4	139	27768
5	140	23226
6	140	19995
7	141	17580
8	142	15675
9	142	14150
10	143	12899
11	143	11853
12	144	10977
13	145	10223
14	145	9572
15	146	8999
16	146	8494
17	147	8047
18	148	7647
19	148	7285
20	149	6957
21	149	6660
22	150	6390
23	151	6142
24	151	5915
25	152	5705
26	152	5510
27	153	5329
28	154	5159
29	154	5002
30	155	4854
31	155	4715
32	156	4584
33	157	4462
34	157	4346
35	158	4236
36	158	4133
37	159	4035
38	159	3941
39	160	3853
40	161	3769
41	161	3690
42	162	3614
43	162	3540
44	163	3470
45	164	3403
46	164	3337
47	165	3276
48	165	3219
49	166	3164
50	167	3112
51	167	3060
52	168	3013
53	169	2965
54	169	2918
55	170	2875
56	171	2831
57	171	2789
58	172	2748
59	172	2708
60	173	2669
61	173	2632
62	174	2595
63	175	2560
64	175	2527
65	176	2494
66	176	2461
67	177	2427
68	177	2396
69	178	2367
70	178	2338
71	179	2309
72	179	2282
73	180	2256
74	181	2232
75	181	2209
76	182	2186
77	182	2162
78	183	2141
79	184	2118
80	184	2096
81	185	2075
82	185	2053
83	186	2033
84	186	2011
85	187	1991
86	187	1970
87	188	1951
88	188	1933
89	189	1915
90	190	1897
91	190	1881
92	191	1864
93	191	1848
94	192	1832
95	192	1816
96	193	1801
97	194	1785
98	194	1770
99	195	1756
100	195	1742
101	196	1726
102	196	1713
103	197	1701
104	198	1689
105	198	1677
106	199	1664
107	200	1652
108	200	1639
109	201	1627
110	201	1615
111	202	1604
112	202	1592
113	203	1581
114	204	1570
115	204	1558
116	205	1548
117	205	1537
118	206	1526
119	206	1515
120	207	1505
121	207	1495
122	208	1483
123	208	1473
124	209	1463
125	209	1454
126	210	1445
127	210	1434
128	211	1427
129	212	1419
130	212	1412
131	213	1404
132	214	1398
133	215	1390
134	215	1383
135	216	1375
136	217	1368
137	217	1359
138	218	1353
139	219	1345
140	219	1338
141	220	1331
142	220	1324
143	221	1317
144	222	1310
145	222	1303
146	223	1296
147	223	1289
148	224	1282
149	225	1275
150	225	1268
151	226	1263
152	227	1257
153	228	1253
154	229	1248
155	229	1242
156	230	1236
157	230	1230
158	231	1224
159	232	1218
160	232	1212
161	233	1206
162	233	1200
163	234	1194
164	234	1188
165	235	1183
166	236	1177
167	236	1171
168	237	1166
169	237	1160
170	238	1155
171	238	1149
172	239	1144
173	239	1139
174	240	1133
175	241	1128
176	241	1124
177	242	1121
178	243	1116
179	244	1111
180	244	1105
181	244	1101
182	245	1096
183	246	1091
184	246	1087
185	247	1082
186	247	1077
187	248	1073
188	249	1068
189	249	1063
190	250	1059
191	250	1054
192	251	1050
193	251	1046
194	252	1041
195	252	1037
196	253	1033
197	254	1029
198	254	1025
199	255	1021
200	256	1018
201	256	1014
202	257	1010
203	258	1006
204	258	1003
205	259	998
206	259	995
207	260	991
208	260	987
209	261	983
210	262	980
211	262	976
212	263	972
213	263	968
214	264	964
215	264	961
216	265	957
217	265	953
218	266	950
219	266	946
220	267	942
221	267	939
222	268	935
223	269	932
224	269	928
225	270	925
226	271	922
227	271	919
228	272	916
229	272	913
230	273	910
231	274	907
232	274	904
233	275	901
234	276	898
235	276	895
236	277	892
237	277	889
238	278	886
239	279	883
240	279	880
241	280	877
242	280	875
243	281	872
244	282	869
245	282	866
246	283	863
247	283	860
248	284	857
249	284	854
250	285	852
251	286	849
252	286	846
253	287	844
254	287	841
255	288	838
256	289	835
257	289	832
258	290	830
259	290	827
260	291	824
261	291	821
262	292	819
263	292	816
264	293	813
265	293	811
266	294	808
267	295	805
268	295	803
269	296	800
270	296	797
271	297	795
272	297	792
273	298	790
274	298	787
275	299	785
276	300	783
277	300	780
278	301	778
279	301	776
280	302	774
281	303	771
282	303	769
283	304	767
284	304	764
285	305	762
286	305	760
287	306	757
288	307	755
289	307	753
290	308	750
291	308	748
292	309	746
